,Symbol
1448,ATG9A
1449,IRGQ
1450,KIF20A
1451,PEG10
1452,RNF208
1453,PPP2R5E
1454,ATP1B1
1455,FGFR4
1456,ZHX2
1457,OLFML3
1458,ACVR1B
1459,PCYOX1L
1460,TRDMT1
1461,GNG5
1462,IFRD2
1463,MED10
1464,UBL3
1465,SIRT1
1466,KCNK16
1467,DIPK1A
1468,POLB
1469,SLC27A4
1470,THRB
1471,NUDCD3
1472,SGTB
1473,PLK2
1474,PTH2
1475,ZNF189
1476,RHBDF1
1477,DNAJC22
1478,XBP1
1479,DDX25
1480,MAP7
1481,CBR3
1482,ZNF329
1483,SMAD3
1484,COX5B
1485,PEX11A
1486,LPXN
1487,CNDP2
1488,NPFFR2
1489,FOXO3
1490,SAR1A
1491,ARHGEF4
1492,A2M
1493,MFSD10
1494,FBXL3
1495,GADD45A
1496,RAB40B
1497,RAB27A
1498,PTEN
1499,CAMSAP2
1500,KCNT2
1501,DMXL2
1502,RBP2
1503,SHC2
1504,PDE3B
1505,RAB7A
1506,SNX20
1507,AARD
1508,PAK1
1509,CAMP
1510,RPL39L
1511,TIMP2
1512,AKT1S1
1513,GTPBP1
1514,WBP11
1515,RNF25
1516,ENOSF1
1517,TMEM38B
1518,UBE2L3
1519,MS4A6E
1520,ZNF131
1521,PIK3C2B
1522,NEUROD2
1523,MGAT1
1524,CAPN10
1525,IGFBP5
1526,MROH9
1527,CRIP3
1528,CDC45
1529,TARBP1
1530,SLC24A3
1531,TPD52L2
1532,NACC1
1533,FBXO41
1534,MRPL18
1535,TMEM8B
1536,CASR
1537,RNPS1
1538,NDUFB2
1539,NCK2
1540,THOP1
1541,RALY
1542,XRCC3
1543,NCOA2
1544,VAT1
1545,AP5M1
1546,CLYBL
1547,PRR15L
1548,EME1
1549,RTN4IP1
1550,EVL
1551,APLP2
1552,GNAI2
1553,FBXO33
1554,CDKN1B
1555,STAP2
1556,GFPT1
1557,CELF4
1558,ACTR3B
1559,UQCRH
1560,TM9SF2
1561,TMEM255B
1562,NELL2
1563,ANKRD44
1564,ITFG1
1565,EEF2K
1566,RPA2
1567,CORO1A
1568,KIF2C
1569,CEP152
1570,NOLC1
1571,GMNN
1572,UFC1
1573,SEMA6C
1574,PIK3R4
1575,SLC39A8
1576,MMP2
1577,S100A7L2
1578,FSCN3
1579,GARRE1
1580,CEBPD
1581,DUSP11
1582,SH3D21
1583,NPBWR2
1584,HOOK2
1585,CLSTN1
1586,PHOSPHO1
1587,LRRTM1
1588,CRK
1589,NTHL1
1590,GEMIN5
1591,KHDC3L
1592,SESN2
1593,BANF2
1594,ETFDH
1595,FAHD1
1596,PLAGL1
1597,CCND3
1598,CRYZ
1599,ARHGAP1
1600,IKBKE
1601,SNRNP35
1602,ARNT
1603,RNF32
1604,JAK1
1605,LBR
1606,GHR
1607,NAT2
1608,BLMH
1609,SLC35F1
1610,CELSR3
1611,LYPD6
1612,TRIAP1
1613,KALRN
1614,MPZL1
1615,FPGS
1616,EIF2S1
1617,THADA
1618,LGMN
1619,LORICRIN
1620,CDK5
1621,EGF
1622,SMURF2
1623,HSPA8
1624,TCERG1
1625,DHODH
1626,FKBP14
1627,SNX6
1628,MET
1629,POLR3G
1630,SNX7
1631,SCAMP2
1632,SDHA
1633,CCDC62
1634,SHC1
1635,GFOD1
1636,COPZ2
1637,GSTZ1
1638,NLRP5
1639,ZWILCH
1640,CRBN
1641,HMOX2
1642,URB2
1643,NUDT17
1644,EPHB4
1645,CAPG
1646,DSG2
1647,R3HDML
1648,TMEM106A
1649,PAPLN
1650,LIPA
1651,SLC46A2
1652,HDAC11
1653,MIXL1
1654,MICALL1
1655,TXLNA
1656,ARHGEF33
1657,DMTF1
1658,CDC20
1659,IQGAP1
1660,CDC25B
1661,PSMF1
1662,RSBN1
1663,RSRC1
1664,PARP2
1665,NEUROG1
1666,MRPL36
1667,GNAS
1668,PCCB
1669,FLG
1670,S100A13
1671,MMEL1
1672,MAF
1673,CARD6
1674,HOMER2
1675,NUDT1
1676,ETFB
1677,RALA
1678,PIK3AP1
1679,TNFRSF8
1680,TUBD1
1681,DCTN5
1682,OR2J3
1683,ADAM10
1684,RELN
1685,PARP9
1686,IVD
1687,RPIA
1688,SRSF6
1689,CRYBB1
1690,ARFIP2
1691,GOLT1B
1692,TEX30
